Date/Time,EMS:All Zones Total Heating Energy {J}(Hourly),EMS:All Zones Total Heating Energy {J}(Monthly),EMS:All Zones Total Heating Energy {J}(RunPeriod),EMS:All Zones Total Cooling Energy {J}(Hourly),EMS:All Zones Total Cooling Energy {J}(Monthly),EMS:All Zones Total Cooling Energy {J}(RunPeriod) 
 01/08  22:00:00,61682007.8060241,,,0.0 
 01/08  23:00:00,61966475.4225248,,,0.0 
 01/08  24:00:00,66105600.5791275,,,0.0 
 01/09  01:00:00,65930524.9127432,,,0.0 
 01/09  02:00:00,66349690.9101115,,,0.0 
 01/09  03:00:00,67032271.4327502,,,0.0 
 01/09  04:00:00,67624852.1794555,,,0.0 
 01/09  05:00:00,68043943.1708957,,,0.0 
 01/09  06:00:00,68859843.0992578,,,0.0 
 01/09  07:00:00,65397715.1181838,,,0.0 
 01/09  08:00:00,58501870.8530156,,,0.0 
 01/09  09:00:00,59729625.2790333,,,0.0 
 01/09  10:00:00,54109051.8555042,,,0.0 
 01/09  11:00:00,48889153.6598512,,,0.0 
 01/09  12:00:00,41343973.5948634,,,0.0 
 01/09  13:00:00,47467566.8425397,,,0.0 
 01/09  14:00:00,49401022.5713866,,,0.0 
 01/09  15:00:00,46113238.1314646,,,0.0 
 01/09  16:00:00,47488302.6356487,,,0.0 
 01/09  17:00:00,50486687.6527723,,,0.0 
 01/09  18:00:00,54847170.6375332,,,0.0 
 01/09  19:00:00,57580033.4069673,,,0.0 
 01/09  20:00:00,58225093.3803956,,,0.0 
 01/09  21:00:00,63891773.551881,,,0.0 
 01/09  22:00:00,63911193.7812267,,,0.0 
 01/09  23:00:00,63973468.603031,,,0.0 
 01/09  24:00:00,68756600.5390327,,,0.0 
 01/10  01:00:00,68917787.4487621,,,0.0 
 01/10  02:00:00,69042685.0895154,,,0.0 
 01/10  03:00:00,69322187.9619149,,,0.0 
 01/10  04:00:00,69473590.4351106,,,0.0 
 01/10  05:00:00,69724026.4896144,,,0.0 
 01/10  06:00:00,69980599.1272751,,,0.0 
 01/10  07:00:00,65908383.715268,,,0.0 
 01/10  08:00:00,58680335.8604941,,,0.0 
 01/10  09:00:00,60296789.0407652,,,0.0 
 01/10  10:00:00,55136008.8438356,,,0.0 
 01/10  11:00:00,49808059.8776456,,,0.0 
 01/10  12:00:00,42192526.5431763,,,0.0 
 01/10  13:00:00,47597115.4100304,,,0.0 
 01/10  14:00:00,47161155.7371087,,,0.0 
 01/10  15:00:00,46213950.9229966,,,0.0 
 01/10  16:00:00,47250952.5630345,,,0.0 
 01/10  17:00:00,49143185.3762607,,,0.0 
 01/10  18:00:00,53370261.7401914,,,0.0 
 01/10  19:00:00,55767807.6352397,,,0.0 
 01/10  20:00:00,56518010.1458574,,,0.0 
 01/10  21:00:00,62406321.1013802,,,0.0 
 01/10  22:00:00,62339537.8703574,,,0.0 
 01/10  23:00:00,62865367.9936355,,,0.0 
 01/10  24:00:00,67941816.090003,,,0.0 
 01/11  01:00:00,68300834.5453658,,,0.0 
 01/11  02:00:00,68316799.1530858,,,0.0 
 01/11  03:00:00,68441086.8221058,,,0.0 
 01/11  04:00:00,68832669.7715945,,,0.0 
 01/11  05:00:00,69416513.7172082,,,0.0 
 01/11  06:00:00,70201570.8469494,,,0.0 
 01/11  07:00:00,66912008.7305274,,,0.0 
 01/11  08:00:00,59999388.3359042,,,0.0 
 01/11  09:00:00,61445046.7371067,,,0.0 
 01/11  10:00:00,53686258.8446787,,,0.0 
 01/11  11:00:00,48539460.1245933,,,0.0 
 01/11  12:00:00,43551411.5865439,,,0.0 
 01/11  13:00:00,50394001.0998821,,,0.0 
 01/11  14:00:00,51824819.2181085,,,0.0 
 01/11  15:00:00,48535946.9515854,,,0.0 
 01/11  16:00:00,49242884.5966675,,,0.0 
 01/11  17:00:00,51432069.7864827,,,0.0 
 01/11  18:00:00,56046502.7783413,,,0.0 
 01/11  19:00:00,58908174.8388339,,,0.0 
 01/11  20:00:00,59205930.0783846,,,0.0 
 01/11  21:00:00,65040071.3782011,,,0.0 
 01/11  22:00:00,65103368.4011457,,,0.0 
 01/11  23:00:00,65370303.3335102,,,0.0 
 01/11  24:00:00,70331223.4258069,,,0.0 
 01/12  01:00:00,70774803.9340945,,,0.0 
 01/12  02:00:00,71120781.9100539,,,0.0 
 01/12  03:00:00,71686981.9152682,,,0.0 
 01/12  04:00:00,72273272.9679867,,,0.0 
 01/12  05:00:00,72870799.457732,,,0.0 
